City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
440,fairfield,41.2668,-73.3162,22.64,84,100,5.14,US,1723271037
441,zemio,5.0314,25.1361,22.05,95,100,0.4,CF,1723271038
442,santa ana,33.7456,-117.8678,20.91,84,20,2.06,US,1723270516
443,glen innes,-29.7333,151.7333,14.02,48,78,2.22,AU,1723271040
444,sos'va,59.1766,61.8558,17.97,47,56,2.87,RU,1723271041
445,huanggang,23.677,116.9996,33.7,61,100,3.79,CN,1723271042
446,kabare,-2.4683,28.8242,21.55,58,94,1.42,CD,1723271044
447,manta,-0.95,-80.7333,22.88,83,75,4.12,EC,1723271045
448,urzhar,47.093,81.6294,34.71,20,49,11.66,KZ,1723271046
449,selkirk,50.1436,-96.8845,10.66,88,56,0.45,CA,1723270872
450,grand falls-windsor,48.9332,-55.6649,15.28,83,97,3.33,CA,1723270894
451,lamu,-2.2717,40.902,25.87,74,31,6.32,KE,1723271050
452,chichli,22.8333,78.8167,27.27,85,99,5.12,IN,1723271051
453,aweil,8.7682,27.4002,23.61,91,100,1.39,SS,1723271052
454,san martin,-33.081,-68.4681,7.26,34,41,3.45,AR,1723271053
455,nuku'alofa,-21.1333,-175.2,20.19,83,75,3.09,TO,1723271054
456,totness,5.8833,-56.3167,26.72,85,95,6.03,SR,1723271055
457,berezovyy,51.6667,135.7,23.12,47,16,2.86,RU,1723271056
458,jabor,5.921,169.6434,28.93,65,74,2.43,MH,1723271057
459,rehoboth,-23.3167,17.0833,14.02,7,0,2.48,NA,1723271058
460,ust-kamenogorsk,49.9789,82.6103,26.96,57,40,8.0,KZ,1723271060
461,kristiansund,63.1115,7.732,15.07,67,75,3.6,NO,1723271061
462,turkmenbasy,40.0222,52.9552,35.43,24,0,2.06,TM,1723271062
463,bechar,31.6167,-2.2167,34.18,16,36,3.09,DZ,1723271063
464,wyszkow,52.5928,21.4584,19.6,82,77,4.37,PL,1723271064
465,robertsport,6.7533,-11.3686,25.22,76,96,6.85,LR,1723271066
466,saudarkrokur,65.7461,-19.6394,4.97,95,100,0.77,IS,1723271067
467,bestobe,52.4994,73.0975,17.48,56,100,5.8,KZ,1723271070
468,mossel bay,-34.1831,22.146,14.19,59,93,6.35,ZA,1723271071
469,portland,45.5234,-122.6762,23.23,72,75,2.57,US,1723271069
470,kosh-agach,50.0,88.6667,22.87,35,57,1.13,RU,1723271073
471,wanning,18.8003,110.3967,33.16,60,74,7.12,CN,1723271075
472,vallenar,-28.5708,-70.7581,13.05,23,1,1.26,CL,1723271076
473,pacific grove,36.6177,-121.9166,13.14,95,100,5.36,US,1723271078
474,chaman,30.9236,66.4512,33.55,27,0,3.76,PK,1723271079
475,itoman,26.1247,127.6694,32.43,70,20,6.17,JP,1723271080
476,elverum,60.8819,11.5623,11.82,86,23,2.26,NO,1723271082
477,holualoa,19.6228,-155.9522,21.97,87,34,1.34,US,1723271083
478,alpatovo,43.7028,45.2415,31.92,32,1,2.9,RU,1723271084
479,great falls,47.5002,-111.3008,17.66,52,100,4.12,US,1723271037
480,balabac,7.9868,117.0645,29.4,71,100,2.81,PH,1723271086
481,guilin,25.2819,110.2864,34.29,55,74,2.03,CN,1723271087
482,walvis bay,-22.9575,14.5053,12.45,72,0,2.82,NA,1723271089
483,westport,41.1415,-73.3579,23.33,96,100,5.14,US,1723271090
484,bardsir,29.9227,56.5743,31.35,14,7,2.98,IR,1723271091
485,ushtobe,45.2514,77.9838,34.43,20,89,9.53,KZ,1723271092
486,tukrah,32.5341,20.5791,28.1,69,0,3.0,LY,1723271093
487,barah,13.7,30.3667,27.8,60,93,5.03,SD,1723271094
488,arteche,12.2645,125.4048,31.17,68,100,1.11,PH,1723271096
